Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Quarry manager,Entertainment,Decreasing,high,78151.66,PhD,12,1542,224,93.08,38.05,China,27.12
"Engineer, civil (contracting)",Finance,Increasing,high,126030.56,High School,16,6398,9686,10.28,45.75,India,67.3
"Lighting technician, broadcasting/film/video",Education,Decreasing,high,108805.77,High School,3,6086,1278,13.71,94.72,India,23.89
Museum/gallery conservator,IT,Decreasing,high,115733.83,Master’s Degree,8,245,1348,82.8,82.18,USA,51.48
Counsellor,Retail,Increasing,high,86685.95,High School,3,2123,8756,6.46,98.3,China,21.56
Multimedia programmer,Manufacturing,Decreasing,high,91153.53,Bachelor’s Degree,17,5543,7847,42.83,97.81,China,45.09
Quantity surveyor,Manufacturing,Increasing,high,95652.17,Master’s Degree,18,2147,200,91.86,39.85,China,79.28
Database administrator,Finance,Decreasing,high,30082.02,Bachelor’s Degree,18,5061,2666,95.49,53.61,Brazil,36.82
Senior tax professional/tax inspector,Healthcare,Decreasing,high,68534.6,Associate Degree,0,2239,2287,16.95,11.31,UK,35.16
Museum/gallery exhibitions officer,Finance,Decreasing,high,122712.77,PhD,13,7452,533,38.31,12.64,Germany,57.39
"Scientist, research (maths)",Healthcare,Decreasing,high,132375.17,Bachelor’s Degree,11,847,9885,81.56,1.97,USA,79.69
Horticultural consultant,Finance,Increasing,high,137288.73,PhD,10,7120,7702,9.61,26.54,China,35.75
Research scientist (physical sciences),Finance,Decreasing,high,129182.71,PhD,11,9680,9221,56.75,46.68,USA,54.16
Child psychotherapist,IT,Decreasing,high,86255.49,Bachelor’s Degree,19,6848,6126,78.17,6.46,China,21.4
Armed forces technical officer,Entertainment,Increasing,high,125777.17,Master’s Degree,11,8080,8549,88.61,18.83,Canada,41.76
Electrical engineer,IT,Increasing,high,96517.87,Associate Degree,9,2440,4924,50.73,76.44,USA,71.39
Electronics engineer,Finance,Decreasing,high,135527.8,Master’s Degree,13,1496,6566,48.89,91.28,Canada,20.47
Ergonomist,IT,Decreasing,high,125240.22,Bachelor’s Degree,20,3266,7064,90.05,75.5,Germany,64.37
"Engineer, building services",Education,Decreasing,high,66477.58,Associate Degree,11,9791,2123,54.69,50.28,USA,20.69
"Administrator, local government",Entertainment,Decreasing,high,89399.03,High School,17,6622,6520,85.77,30.99,Canada,54.39
Cartographer,Healthcare,Increasing,high,131835.84,PhD,16,6314,3279,65.18,86.96,UK,42.78
Training and development officer,Finance,Decreasing,high,31374.53,PhD,5,2519,1191,42.86,78.34,China,62.35
Museum education officer,Education,Decreasing,high,106745.24,Master’s Degree,19,5590,5737,95.49,44.25,China,74.34
"Therapist, music",Entertainment,Increasing,high,118420.93,Master’s Degree,3,3071,6973,70.01,82.6,Canada,22.32
"Journalist, broadcasting",Finance,Increasing,high,64897.31,PhD,11,4540,1996,97.81,89.6,Germany,77.22
Industrial buyer,IT,Decreasing,high,102496.94,Associate Degree,16,2846,5782,1.07,73.08,UK,41.77
Multimedia programmer,Finance,Decreasing,high,96261.78,PhD,3,1353,7982,29.41,26.71,Germany,25.9
Youth worker,Manufacturing,Decreasing,high,110472.77,Associate Degree,3,4232,2368,95.97,85.69,Germany,36.53
Travel agency manager,Transportation,Decreasing,high,140291.84,Master’s Degree,7,5362,2577,55.41,68.83,China,69.32
"Teacher, secondary school",Entertainment,Decreasing,high,132906.71,High School,12,8912,3043,94.05,84.35,China,55.72
"Sales professional, IT",Manufacturing,Increasing,high,62876.3,Master’s Degree,20,1271,3010,94.16,17.6,China,30.86
Games developer,Healthcare,Decreasing,high,99597.5,Bachelor’s Degree,17,2428,7840,58.46,62.17,Canada,55.81
Planning and development surveyor,Finance,Decreasing,high,120998.27,PhD,7,9965,5384,73.99,70.91,Canada,59.41
Estate agent,Manufacturing,Decreasing,high,129191.86,Bachelor’s Degree,19,5930,1998,19.42,29.27,USA,38.27
"Surveyor, mining",Transportation,Increasing,high,133839.11,Bachelor’s Degree,3,4087,6573,77.49,97.02,USA,21.32
"Engineer, materials",Healthcare,Decreasing,high,128939.27,Bachelor’s Degree,3,4674,940,90.24,35.11,Australia,69.63
"Surveyor, insurance",Transportation,Decreasing,high,34467.8,PhD,11,8595,2356,90.03,73.46,UK,48.23
Public librarian,Manufacturing,Decreasing,high,112694.29,Bachelor’s Degree,0,7127,786,41.21,38.49,Germany,31.11
Amenity horticulturist,Education,Increasing,high,144279.99,High School,6,581,6806,16.19,11.67,Germany,71.64
Mental health nurse,Education,Decreasing,high,63364.07,PhD,8,9737,3603,51.88,81.05,Brazil,24.48
Media buyer,Healthcare,Increasing,high,104463.36,PhD,4,4375,6430,31.99,89.55,China,37.56
Aid worker,IT,Increasing,high,65837.11,Bachelor’s Degree,3,9480,7096,96.22,20.69,Canada,23.03
Environmental health practitioner,Healthcare,Increasing,high,142616.86,Bachelor’s Degree,8,8830,7825,0.06,37.76,Australia,63.4
Information systems manager,Transportation,Increasing,high,113991.59,Associate Degree,12,7530,390,69.98,87.79,USA,71.88
Oceanographer,Manufacturing,Increasing,high,70841.05,Bachelor’s Degree,11,4046,1708,37.3,7.09,Australia,33.01
"Engineer, manufacturing systems",Transportation,Decreasing,high,149781.35,PhD,8,331,9524,68.44,76.12,China,37.94
Commissioning editor,Retail,Increasing,high,47537.77,Bachelor’s Degree,6,4198,7195,2.01,70.85,India,65.91
Automotive engineer,Healthcare,Decreasing,high,109415.32,PhD,1,8244,2582,3.67,70.81,USA,22.04
Acupuncturist,IT,Increasing,high,117834.71,PhD,6,6486,2155,75.96,65.79,Canada,47.88
Theatre manager,Manufacturing,Increasing,high,44557.58,Bachelor’s Degree,7,8600,8451,49.05,83.13,Brazil,65.64
Theatre manager,Entertainment,Increasing,high,91977.75,PhD,3,4837,6074,33.76,25.2,China,54.17
Mechanical engineer,Healthcare,Decreasing,high,139546.53,Master’s Degree,2,8634,6057,20.93,36.43,India,23.45
Television production assistant,Healthcare,Decreasing,high,116137.46,Master’s Degree,20,6994,7015,90.45,94.18,Canada,72.82
Surgeon,Transportation,Decreasing,high,53663.8,High School,17,4610,349,46.16,53.06,India,43.59
Clinical psychologist,Education,Decreasing,high,65559.22,Associate Degree,8,3836,7536,98.5,44.05,Australia,70.7
Health and safety inspector,Finance,Decreasing,high,80088.65,PhD,1,2618,8552,42.17,85.67,China,32.31
Systems developer,Healthcare,Decreasing,high,41201.94,High School,10,4649,7882,14.39,51.91,Brazil,22.4
Psychotherapist,Education,Increasing,high,79089.3,PhD,15,7630,8829,34.24,73.65,Australia,31.35
Materials engineer,Education,Increasing,high,107480.14,Associate Degree,9,8209,9061,3.82,54.8,Brazil,42.87
Radio broadcast assistant,Retail,Decreasing,high,51791.67,PhD,1,8219,8073,84.11,13.02,Brazil,23.01
"Research officer, political party",Education,Decreasing,high,59454.94,High School,19,6704,5261,0.23,8.69,India,56.43
Comptroller,IT,Decreasing,high,77281.53,Master’s Degree,5,2875,7619,18.72,2.01,Canada,60.24
"Lecturer, higher education",Manufacturing,Decreasing,high,137571.97,Master’s Degree,9,1122,3444,69.87,86.68,China,64.01
Probation officer,Finance,Decreasing,high,130153.62,Bachelor’s Degree,18,6479,5918,5.12,50.34,India,77.22
Charity fundraiser,Entertainment,Increasing,high,89396.08,PhD,13,1485,7901,21.66,27.42,UK,73.9
Occupational therapist,IT,Decreasing,high,73136.88,High School,14,4424,2717,0.5,31.59,Germany,31.24
"Nurse, learning disability",IT,Decreasing,high,62613.61,PhD,17,243,6694,77.06,88.97,UK,32.52
Animal nutritionist,Healthcare,Increasing,high,120403.35,Associate Degree,10,1909,4486,6.5,3.78,China,46.43
Information officer,Entertainment,Decreasing,high,63922.67,Associate Degree,8,3749,3871,23.78,45.19,India,27.49
Chiropractor,Retail,Increasing,high,39063.23,Master’s Degree,16,7619,171,25.96,4.57,Germany,29.78
Armed forces operational officer,Retail,Decreasing,high,32711.55,PhD,2,4236,7478,33.88,32.53,UK,72.52
Chartered legal executive (England and Wales),Manufacturing,Decreasing,high,139024.13,High School,13,6436,1219,78.76,10.96,Brazil,25.5
Charity officer,Healthcare,Increasing,high,37239.94,Bachelor’s Degree,6,4187,271,41.98,8.25,India,31.71
"Surveyor, quantity",Manufacturing,Increasing,high,123017.67,PhD,1,2378,6460,79.2,41.47,Germany,26.5
Management consultant,IT,Increasing,high,68891.87,High School,3,9585,1503,61.87,90.19,India,37.78
Patent examiner,Retail,Decreasing,high,106521.39,High School,16,6378,2712,7.23,38.35,Australia,24.4
Press photographer,Healthcare,Decreasing,high,65746.05,Associate Degree,6,2408,4344,23.28,97.85,UK,38.17
"Administrator, Civil Service",Finance,Increasing,high,99419.25,Bachelor’s Degree,19,2537,7227,7.68,32.85,Canada,50.99
Location manager,Healthcare,Decreasing,high,113191.35,High School,3,9029,3657,5.49,88.2,USA,68.54
Osteopath,Retail,Decreasing,high,108839.99,Master’s Degree,11,8931,2724,66.68,8.43,China,29.22
Fashion designer,IT,Decreasing,high,31264.17,High School,6,3894,6101,50.28,22.59,Canada,31.9
Water quality scientist,Retail,Increasing,high,120788.88,Bachelor’s Degree,12,5610,2951,4.67,19.99,USA,43.69
Police officer,Retail,Decreasing,high,95212.96,Associate Degree,9,2389,3293,2.11,10.77,USA,32.08
Ambulance person,IT,Decreasing,high,94437.56,Bachelor’s Degree,4,1189,851,45.31,32.62,UK,27.28
Purchasing manager,Healthcare,Decreasing,high,33721.25,Bachelor’s Degree,19,6948,7085,47.39,22.51,UK,58.21
Mechanical engineer,Education,Decreasing,high,143868.15,Bachelor’s Degree,9,6814,3364,8.47,69.43,Canada,36.05
Archaeologist,Healthcare,Increasing,high,36465.96,High School,9,4389,330,45.71,79.35,Brazil,67.86
Building control surveyor,Manufacturing,Decreasing,high,62623.89,Associate Degree,2,4898,6761,19.48,3.99,China,59.89
"Journalist, broadcasting",Retail,Decreasing,high,107198.92,PhD,15,5835,4565,98.8,19.74,Australia,23.07
Secondary school teacher,Transportation,Increasing,high,140595.33,High School,8,8929,2014,69.91,71.85,UK,25.17
Occupational psychologist,Manufacturing,Increasing,high,89617.24,Associate Degree,15,6654,5831,34.17,77.19,Canada,28.27
Location manager,Entertainment,Increasing,high,70819.63,Master’s Degree,18,1237,2490,51.1,3.81,China,74.93
"Radiographer, diagnostic",Entertainment,Increasing,high,128467.07,Bachelor’s Degree,16,462,8424,44.83,65.12,USA,25.09
Plant breeder/geneticist,Education,Decreasing,high,70067.45,Master’s Degree,20,946,8811,20.67,37.67,Germany,33.83
Barista,Entertainment,Increasing,high,142840.61,Associate Degree,11,5610,5451,9.41,20.33,Brazil,51.32
Colour technologist,Manufacturing,Decreasing,high,47354.0,High School,13,1709,4466,12.94,30.78,Australia,79.56
Building surveyor,Transportation,Increasing,high,77518.52,High School,10,4460,8869,23.62,27.6,India,64.87
Forest/woodland manager,Finance,Decreasing,high,105233.7,High School,9,3848,2546,38.61,1.73,China,70.52
Legal executive,Transportation,Increasing,high,77252.58,High School,6,3967,859,23.43,52.45,China,25.53
Emergency planning/management officer,IT,Increasing,high,66088.85,Bachelor’s Degree,1,4254,1114,55.31,93.76,UK,37.14
Educational psychologist,Education,Increasing,high,111204.78,Master’s Degree,7,6598,8325,4.92,44.61,USA,76.78
Government social research officer,Transportation,Decreasing,high,104989.6,Associate Degree,0,840,3626,51.54,69.4,Australia,37.45
"Geologist, wellsite",Entertainment,Decreasing,high,47657.16,Associate Degree,14,1267,657,38.45,49.57,Germany,32.67
"Administrator, charities/voluntary organisations",Finance,Decreasing,high,39242.47,Bachelor’s Degree,20,5488,8052,57.07,97.17,UK,52.57
Animator,Retail,Decreasing,high,146121.11,Associate Degree,16,1157,449,57.9,41.43,Brazil,62.11
Industrial/product designer,Entertainment,Decreasing,high,50502.95,Associate Degree,13,2136,8218,51.21,86.25,Brazil,24.68
Oceanographer,Entertainment,Increasing,high,113134.48,Master’s Degree,5,3922,2245,99.14,85.89,India,23.52
Chartered certified accountant,Education,Decreasing,high,47856.45,PhD,4,5577,1913,42.28,10.31,China,43.75
Housing manager/officer,Manufacturing,Increasing,high,47732.26,PhD,0,2307,6127,15.3,88.51,UK,62.15
Corporate investment banker,Finance,Decreasing,high,110378.67,Bachelor’s Degree,2,117,7012,84.7,0.5,Australia,65.43
"Engineer, mining",Retail,Decreasing,high,106250.86,High School,6,2163,973,69.19,16.19,China,75.84
Print production planner,Education,Decreasing,high,130871.86,Master’s Degree,7,2194,6379,96.14,50.45,Australia,50.35
Orthoptist,Healthcare,Decreasing,high,56611.3,Associate Degree,8,6166,4654,13.55,78.41,UK,22.96
"Pilot, airline",Transportation,Decreasing,high,47009.22,PhD,15,7291,4078,91.42,56.96,India,71.53
Chartered accountant,IT,Decreasing,high,128778.53,Master’s Degree,17,9139,9792,86.78,91.6,USA,77.32
Product designer,Entertainment,Increasing,high,57446.78,Bachelor’s Degree,6,7121,7006,79.33,31.76,China,67.19
Land,Retail,Increasing,high,105924.77,Bachelor’s Degree,18,5782,6496,11.38,87.26,UK,63.42
Government social research officer,Entertainment,Increasing,high,52757.13,PhD,3,1602,106,98.82,31.23,Australia,56.9
"Geneticist, molecular",Manufacturing,Decreasing,high,31319.64,Bachelor’s Degree,11,9768,1504,8.82,1.53,USA,68.06
Contractor,Entertainment,Decreasing,high,80575.05,Associate Degree,16,7716,1208,48.59,51.69,USA,28.65
"Radiographer, therapeutic",Entertainment,Decreasing,high,52743.28,High School,1,3712,8358,84.0,3.38,Canada,78.1
Insurance broker,Transportation,Increasing,high,130006.93,Associate Degree,19,5924,2728,86.45,4.25,Canada,79.65
Communications engineer,Entertainment,Decreasing,high,122827.52,Associate Degree,4,7785,2062,94.92,40.16,USA,29.01
Air broker,Entertainment,Decreasing,high,47221.99,Associate Degree,0,4404,524,97.09,80.01,India,34.29
Claims inspector/assessor,IT,Decreasing,high,115361.75,Bachelor’s Degree,12,6132,4720,14.25,61.48,Brazil,44.99
"Lighting technician, broadcasting/film/video",Transportation,Decreasing,high,75659.11,PhD,14,9455,222,34.19,3.65,Brazil,78.03
Chartered management accountant,Retail,Increasing,high,109968.03,Master’s Degree,2,8808,8733,53.7,86.54,Germany,39.73
Product/process development scientist,IT,Decreasing,high,138569.51,Master’s Degree,1,8865,1657,40.53,89.0,Australia,51.43
"Designer, fashion/clothing",IT,Increasing,high,39734.95,PhD,10,6616,9716,38.01,28.66,Australia,23.81
Water engineer,Retail,Increasing,high,137880.52,Bachelor’s Degree,20,4967,9824,76.12,11.14,UK,67.99
"Nurse, mental health",Transportation,Decreasing,high,142762.08,Master’s Degree,1,8229,6349,51.85,93.08,India,54.07
Insurance underwriter,Entertainment,Decreasing,high,68358.54,High School,0,7185,3793,95.89,2.51,Canada,79.12
Translator,Education,Increasing,high,34395.44,Bachelor’s Degree,18,6143,1061,50.28,46.05,UK,46.94
Copy,Retail,Increasing,high,125485.78,High School,10,2592,9671,69.37,40.83,Canada,58.12
"Secretary, company",Manufacturing,Decreasing,high,47391.7,High School,1,7862,3951,18.41,38.55,Germany,57.46
Production manager,Entertainment,Increasing,high,133299.74,Master’s Degree,19,5775,8521,6.54,6.06,China,35.24
Arts administrator,Retail,Increasing,high,129656.68,PhD,12,384,9251,83.19,99.64,Germany,28.89
"Clinical scientist, histocompatibility and immunogenetics",Retail,Decreasing,high,85213.71,Master’s Degree,3,4085,1647,96.37,14.74,India,30.02
Publishing copy,Entertainment,Increasing,high,147093.01,Master’s Degree,13,7149,2320,87.14,78.76,UK,36.59
"Psychotherapist, dance movement",Education,Decreasing,high,95782.63,Master’s Degree,11,7259,6887,4.95,55.24,Australia,58.0
"Production designer, theatre/television/film",Transportation,Increasing,high,35941.01,PhD,20,5856,507,81.77,28.61,China,50.82
Forensic scientist,Healthcare,Increasing,high,60441.72,High School,13,5991,5977,66.6,52.13,Canada,35.59
"Engineer, chemical",Healthcare,Decreasing,high,31950.03,Associate Degree,20,8722,8781,71.58,91.74,India,20.69
Tourism officer,Retail,Increasing,high,107400.99,Bachelor’s Degree,10,6761,1097,50.98,42.57,UK,59.52
Bookseller,Healthcare,Decreasing,high,45802.44,Associate Degree,18,6676,1853,9.39,7.83,Australia,49.45
Haematologist,IT,Decreasing,high,140471.72,Bachelor’s Degree,3,2442,1753,13.49,12.34,India,33.35
Software engineer,Healthcare,Decreasing,high,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51
Textile designer,Retail,Increasing,high,45452.45,Associate Degree,9,3145,454,31.08,0.71,China,30.02
Airline pilot,Education,Decreasing,high,36978.97,High School,7,3647,1516,9.49,53.25,Canada,66.86
"Radiographer, diagnostic",Manufacturing,Increasing,high,135659.98,Bachelor’s Degree,2,6220,4111,42.18,56.67,USA,74.37
Radiation protection practitioner,IT,Increasing,high,109024.99,High School,1,1881,9953,9.73,39.9,Canada,45.38
Regulatory affairs officer,IT,Decreasing,high,143398.14,High School,11,8832,1394,92.61,86.77,China,78.92
Medical laboratory scientific officer,Transportation,Decreasing,high,102122.84,Associate Degree,16,8573,8746,92.01,44.14,Canada,49.83
"Production designer, theatre/television/film",IT,Increasing,high,80474.52,Bachelor’s Degree,15,3141,3389,33.55,20.51,USA,46.25
Tree surgeon,Entertainment,Increasing,high,74953.03,Associate Degree,10,1515,8376,18.33,26.0,India,72.77
Occupational psychologist,Healthcare,Decreasing,high,34571.07,Bachelor’s Degree,2,6426,2090,47.5,4.17,USA,59.27
"Engineer, drilling",Entertainment,Increasing,high,127502.04,Associate Degree,11,9243,5479,57.61,41.38,Germany,63.29
Pathologist,IT,Increasing,high,62819.65,High School,5,6595,8386,50.3,29.14,UK,70.64
Ceramics designer,Healthcare,Decreasing,high,118679.18,Bachelor’s Degree,8,5792,8804,30.89,5.43,China,43.18
"Scientist, product/process development",Healthcare,Decreasing,high,82742.56,Master’s Degree,4,1515,9411,27.9,78.29,UK,44.25
Environmental health practitioner,Finance,Decreasing,high,64522.18,Master’s Degree,3,7433,9433,26.47,1.03,Canada,68.56
Science writer,Finance,Decreasing,high,49915.69,Associate Degree,13,6070,4010,76.93,94.33,UK,31.81
Planning and development surveyor,Manufacturing,Increasing,high,90608.96,High School,10,6958,1279,27.46,57.73,Germany,66.68
Environmental consultant,Retail,Increasing,high,56074.44,High School,13,5923,8628,30.0,88.6,Brazil,46.1
"Programmer, applications",IT,Increasing,high,139253.44,Associate Degree,4,5247,6124,96.64,57.58,USA,56.42
Automotive engineer,Manufacturing,Decreasing,high,96089.5,Bachelor’s Degree,15,5979,3181,31.39,56.61,Australia,61.3
"Engineer, electronics",Healthcare,Increasing,high,110397.48,Bachelor’s Degree,14,1098,8507,49.55,28.88,Germany,74.5
Primary school teacher,Healthcare,Increasing,high,34150.16,Master’s Degree,18,4518,1956,17.85,2.78,USA,42.71
Wellsite geologist,Transportation,Increasing,high,45783.06,Associate Degree,14,6418,7033,27.49,51.72,Australia,49.21
Police officer,IT,Increasing,high,72174.29,Bachelor’s Degree,19,1473,8366,72.92,99.72,UK,71.41
"Civil engineer, consulting",IT,Decreasing,high,118415.15,PhD,14,4685,7652,74.27,38.86,India,65.82
"Surveyor, commercial/residential",Retail,Increasing,high,89939.5,PhD,10,1550,6058,93.78,95.83,USA,49.32
Print production planner,Manufacturing,Decreasing,high,111951.31,High School,2,7776,8550,80.58,29.55,Brazil,44.13
Dealer,IT,Increasing,high,142178.94,High School,17,3145,5611,54.3,93.05,Brazil,34.17
Games developer,Finance,Decreasing,high,101910.07,Associate Degree,8,3691,9480,49.37,4.49,UK,60.17
"Engineer, electronics",Retail,Increasing,high,80604.85,Associate Degree,19,7254,1640,57.0,10.16,China,43.79
Medical physicist,Transportation,Decreasing,high,43400.12,PhD,16,9545,1516,44.85,62.06,Australia,38.28
Land/geomatics surveyor,Education,Decreasing,high,101233.52,Associate Degree,4,3447,2766,16.6,72.92,Germany,35.49
Ambulance person,Finance,Decreasing,high,139564.97,Master’s Degree,0,5762,3736,48.41,23.88,China,59.54
Chartered accountant,Entertainment,Decreasing,high,92756.17,Bachelor’s Degree,0,1637,8112,58.55,37.54,USA,75.27
Garment/textile technologist,IT,Decreasing,high,143725.87,Master’s Degree,20,8323,121,11.38,35.23,UK,30.87
"Chemist, analytical",Retail,Decreasing,high,97118.73,PhD,11,853,5904,54.79,22.28,China,30.82
"Accountant, chartered public finance",Manufacturing,Decreasing,high,102983.22,Bachelor’s Degree,2,4103,6920,46.1,67.03,India,74.67
"Designer, blown glass/stained glass",Retail,Decreasing,high,119362.55,Bachelor’s Degree,7,1484,2093,65.3,93.6,Germany,74.12
"Pharmacist, community",IT,Increasing,high,35932.02,High School,4,1303,2342,42.63,5.29,USA,49.86
"Scientist, research (medical)",Education,Increasing,high,116352.97,PhD,10,4258,4701,67.65,31.56,UK,22.06
Waste management officer,Entertainment,Decreasing,high,119050.91,Associate Degree,15,5900,1774,3.39,12.27,China,51.49
"Surveyor, building control",IT,Decreasing,high,147524.34,Bachelor’s Degree,10,4950,3766,66.36,38.53,UK,76.44
Dentist,Healthcare,Decreasing,high,90850.07,Master’s Degree,4,941,6373,87.42,55.75,India,79.26
"Engineer, maintenance (IT)",Entertainment,Increasing,high,111631.04,Associate Degree,3,4033,4801,90.77,16.81,Germany,35.73
Forest/woodland manager,Transportation,Decreasing,high,104788.07,Bachelor’s Degree,10,8479,1712,92.94,68.84,India,32.78
Financial adviser,Healthcare,Increasing,high,32457.25,Associate Degree,0,1913,374,51.4,12.74,UK,44.7
Travel agency manager,Entertainment,Decreasing,high,108910.63,Associate Degree,19,2607,6421,33.36,71.44,Australia,59.25
Futures trader,Manufacturing,Increasing,high,100729.93,PhD,2,3230,9235,1.17,82.59,Germany,67.21
Recruitment consultant,Manufacturing,Decreasing,high,141803.76,Associate Degree,12,8711,7930,26.59,91.54,UK,58.79
Hospital doctor,Manufacturing,Decreasing,high,79823.7,High School,18,2327,7776,51.42,14.59,Australia,46.98
"Producer, television/film/video",Transportation,Increasing,high,96724.08,Master’s Degree,10,5216,8847,30.89,11.75,Brazil,51.9
Tree surgeon,Healthcare,Increasing,high,144602.01,Bachelor’s Degree,0,9603,3398,2.55,87.74,China,24.1
"Restaurant manager, fast food",Entertainment,Increasing,high,149210.87,High School,16,6670,4616,58.55,17.67,India,25.32
Public relations officer,Retail,Increasing,high,63403.54,High School,9,7534,1984,20.82,47.5,UK,30.08
Structural engineer,Healthcare,Decreasing,high,51009.73,Bachelor’s Degree,1,8821,8414,77.77,57.67,UK,75.05
Forest/woodland manager,Transportation,Decreasing,high,113419.91,PhD,12,6032,1373,23.6,32.88,Canada,57.91
"Copywriter, advertising",Retail,Decreasing,high,42330.3,Master’s Degree,0,2466,3874,6.43,78.85,UK,32.82
"Embryologist, clinical",Healthcare,Increasing,high,56589.18,Bachelor’s Degree,18,7603,9373,22.94,76.18,Canada,37.94
Oceanographer,Finance,Decreasing,high,107331.69,PhD,16,106,6753,30.49,9.95,Germany,75.93
"Psychotherapist, child",Entertainment,Decreasing,high,53469.44,High School,12,9508,6959,75.5,68.79,USA,62.99
IT trainer,Healthcare,Increasing,high,65535.14,High School,11,3353,3315,85.67,32.69,China,67.71
"Administrator, arts",Manufacturing,Increasing,high,138172.48,Associate Degree,4,4401,1814,51.37,5.94,UK,43.4
Geophysical data processor,Finance,Decreasing,high,131471.6,High School,11,937,6428,10.75,24.45,Brazil,60.69
Marine scientist,Healthcare,Decreasing,high,43618.17,Associate Degree,2,1192,5933,82.9,0.64,Canada,24.45
"Research officer, political party",IT,Decreasing,high,135617.66,High School,3,3776,5915,13.26,31.73,India,37.0
Investment analyst,Education,Increasing,high,56176.24,Associate Degree,17,8700,1678,86.83,50.77,India,79.81
Sales promotion account executive,Transportation,Decreasing,high,47570.86,Associate Degree,6,7882,8036,79.76,97.24,Australia,54.23
"Exhibitions officer, museum/gallery",Finance,Increasing,high,83103.5,High School,16,9228,7325,89.73,33.11,China,35.4
Higher education lecturer,Entertainment,Increasing,high,143361.81,PhD,20,8616,5057,24.79,75.35,Australia,52.65
